	GSM1519923	GSM1519926	GSM1519927	GSM1519928	GSM1519929	GSM1519930	GSM1519933	GSM1519934	GSM1519935
RPL13	5.104812881	4.070867864199999	5.0696782802	5.183184366800001	4.976654323	4.9557181534	4.385493723400001	5.0895436498	5.3973907976
RPL13A	2.6979043503333333	3.2485239903333336	4.287442891666666	2.5674705113333336	2.204516059	2.7450655776666664	2.934554871333333	2.8840678813333334	1.8272067436666666
RPL13L	1.599912301	1.8195597469999998	1.338896793	1.32502796	1.338782023	1.2276551279999999	1.379107972	1.2822637270000001	1.2607022159999999
RPL14	3.322486339333333	4.702014441	4.8610703200000005	3.1241206550000005	4.089193095	3.6458532389999996	3.809553440333333	3.1738477799999996	3.18631279
RPL15	4.1694548165	1.3624128505	2.9807302715	2.6495855975000002	5.472084591	1.3615422769999999	1.342839953	1.895042694	4.8323371505
RPL17	4.387082174666667	4.346559722666666	5.661701384333333	4.901949266	3.1965676796666664	3.484072877333334	2.8525346520000006	2.455300895666667	2.9479127006666666
RPL18	7.9830992185000005	8.759684757	8.284977444	9.817821808	7.945561508499999	8.053041548	8.408395187	8.452775476	8.185504504
RPL18A	5.3197323425	3.172420356	4.4839833625	4.11110563	4.6052863095	3.178295115	3.245265709	1.7187389795	3.4491201169999997
RPL19	1.488741629	2.420179906	1.941033445	1.5453887290000001	2.558535967	1.550129167	1.992802476	5.833210498	1.7849580569999999
RPL21	4.221528537428572	3.8187416522857136	3.901780015714286	4.166138781428571	4.0970880215	4.065908240214285	4.040304917785714	4.295345571357143	4.4835386925
RPL22	6.05777637175	7.44339193	7.00904921675	6.157590332000001	5.9457213934999995	6.24508125525	5.4852580807499995	6.990154823	6.865616790250001
RPL22L1	7.837425229	1.4180409369999998	4.477895059	4.939828015	7.208124232	6.398900036000001	6.115490055	7.0292046610000005	3.1816063580000002
RPL23	2.824613169333333	5.237540688	2.5895408413333336	3.6717403033333333	4.9882798023333335	3.4856637033333335	2.777527909333333	3.338934722	3.88444764
RPL23A	5.460282996	2.729712298	4.969628433	4.4130876067500004	5.11718549375	4.772521977	5.62701740425	5.27581529925	5.5236062645
RPL23AP13	1.8212736695	3.47695823	2.896578432	2.928724828	1.807553597	2.233540889	3.010319441	2.7055982055000003	3.2832099620000004
RPL23AP7	3.5851489659999998	2.7885221325	2.5120927870000003	2.321724464	2.1631253839999998	2.2090238415	2.5646987709999998	3.448999745	3.074103931
RPL24	5.181987746500001	6.7157249745000005	6.3500321455	5.478110159	6.003638383	6.7877611904999995	6.6257303615000005	6.2645429885	6.993270351
RPL26	8.8694348165	4.626820781999999	7.742322866	8.8008216375	8.298985775	4.7138127995	8.680384392	8.1578141875	7.206084521999999
RPL26L1	4.253456708333334	5.128466900666667	4.268697373666667	5.690330572666667	4.6325386386666665	5.231092362000001	4.949056963333334	4.713771833666667	4.046093101666667
RPL27	2.7223199539999996	3.157073219	2.746966938	2.1079658830000003	1.671342656	2.129072021	4.853830276	2.6510832000000004	2.856226728
RPL27A	2.8302902825	4.696084608	2.5046651285	3.8685634009999994	4.1320254069999995	5.556914502	4.858925377	3.2535416795	4.5236702875
RPL28	8.283388044	8.3906572435	7.214306379	7.858667041	8.157094239	7.6347849865	8.0988606785	7.4673935915000005	7.4550565330000005
RPL29	3.46618120025	3.2873664115000003	3.18123077025	3.89833304175	3.44794620825	3.68262688975	3.2074366775000005	3.7124741465000004	3.393437142
RPL29P2	7.851420847000001	3.173625512	7.726384276	6.23401229	8.468514759	7.068663003999999	2.406058979	5.544189695	8.59249271
RPL3	7.598536461333334	7.4971781433333335	7.8497808283333335	7.580420703000001	6.411566056333332	5.133838758666667	4.302546258666667	8.99245025	7.9971075166666665
RPL30	4.4960267805	6.282132039	4.952434796	5.8351179865	4.961025144	4.3991020665	5.226610588	4.784944474	4.4093348035
RPL31	6.777616426666666	6.153387521666667	5.6224058506666665	6.700688912333334	6.277328286666666	6.130239364666667	2.8354158753333336	5.540125586000001	5.333380329000001
RPL31P10	4.786347796	5.65234471	4.683826684	4.211545336	6.476058081000001	5.3066904489999995	8.403248335	5.4460409610000005	5.338278911000001
RPL31P4	1.537491975	3.219762921	5.92745926	2.206638024	3.356781568	4.991573103	2.6280631000000003	2.26159531	2.715661579
RPL32	4.20997545	3.230769473	5.019890342	6.939972157000001	4.719834929	4.211348333	5.271436075	4.233398369	3.182603639
RPL32P3	7.945399395000001	4.274548349	6.031562109	7.1234176174999995	8.40949046	8.233521831000001	5.3656070905	8.0241520825	6.5450006125
RPL34	4.598597934000001	2.6475986965000002	5.9604926916666665	5.054753492666666	5.574455287499998	5.342189496833332	5.166366912833333	5.311964284166667	5.1051904273333335
RPL35	5.799945437	6.829050775	7.579783492250001	4.97239267275	5.1805814155	4.76776620375	8.11917920075	8.472458539749999	7.24001237675
RPL35A	6.11989791	9.212354576000001	8.285751087000001	5.013627373	6.439724602	7.257539945	8.28775826	7.181457366	5.779463422
RPL36	2.010899072	5.019266423	3.542692017	4.181997965	2.239020538	5.523620216	3.7796681910000003	3.021267335	3.3623264980000003
RPL36A	4.3791112265	6.1494772065	5.121322538499999	4.3865133185000005	4.6308980095	5.2738533375	3.5903686214999997	4.5405822245000005	5.143454245
RPL36AL	7.090906659	8.742152294	7.563743533999999	7.486682000000001	7.483387691	8.012350527	8.203098208	7.899512457999999	8.382965578
